iter	RMSE
0	0.8753335686
1	0.7952679786
2	0.7237044801
3	0.6599122693
4	0.6012819676
5	0.5480157355
6	0.5007167514
7	0.4581005369
8	0.4197359135
9	0.3849220247
10	0.3532634923
11	0.3249905543
12	0.2997150863
13	0.2769741955
14	0.2568092492
15	0.2386416934
16	0.2217614428
17	0.2066788076
18	0.1933501364
19	0.1816697293
20	0.1703008172
21	0.1598263836
22	0.1507858793
23	0.1424306468
24	0.134527973
25	0.1279227505
26	0.1217237692
27	0.1164210101
28	0.111369584
29	0.1066704595
30	0.1026716954
31	0.09928745589
32	0.09626705793
33	0.09333751596
34	0.09070543418
35	0.08831357854
36	0.08630352433
37	0.08456812262
38	0.08304411424
39	0.08118723592
40	0.07992593491
41	0.07872018877
42	0.07748366577
43	0.0764422549
44	0.07540059289
45	0.07458761509
46	0.07387731613
47	0.07305696325
48	0.07240875186
49	0.07172553838
50	0.07117850182
51	0.0706885844
52	0.07021184927
53	0.06967803252
54	0.06931926886
55	0.06895946264
56	0.06860700063
57	0.06831608697
58	0.06801444197
59	0.06773063237
60	0.0675252482
61	0.06729205348
62	0.06701870682
63	0.06677052109
64	0.06660556403
65	0.06637474224
66	0.06623556081
67	0.06610930924
68	0.06590573589
69	0.06580153045
70	0.06568352374
71	0.06553043832
72	0.06532381775
73	0.06523947461
74	0.06515999507
75	0.06503782127
76	0.06491331914
77	0.06484946
78	0.0647429893
79	0.06463526329
80	0.06449300845
81	0.06442253056
82	0.06435164323
83	0.06429075441
84	0.06423980545
85	0.06419896627
86	0.06410606545
87	0.0640572428
88	0.06397486715
89	0.06386541612
90	0.06380522593
91	0.06374632679
92	0.06367927543
93	0.06359468946
94	0.06354408564
95	0.06351204883
96	0.06343699172
97	0.06339521953
98	0.06336305275
99	0.06330300467
100	0.06325450985
101	0.0631595406
102	0.06312471988
103	0.06308169278
104	0.06303787053
105	0.06296483584
106	0.06291766678
107	0.06288511513
108	0.06282818528
109	0.06279498281
110	0.06277115297
111	0.06273317551
112	0.06269623397
113	0.06264280408
114	0.06258860099
115	0.06254998333
116	0.06249927437
117	0.06246062576
118	0.06242655982
119	0.06234780422
120	0.0623008623
121	0.06227275258
122	0.06222793748
123	0.06220120246
124	0.06214820658
125	0.06210145911
126	0.06208523708
127	0.06203836186
128	0.06201991447
129	0.06197637966
130	0.06194210489
131	0.06191694295
132	0.06188240139
133	0.06184539234
134	0.06183087786
135	0.06179787172
136	0.06176153596
137	0.06173397518
138	0.06171530525
139	0.06168696278
140	0.06166783252
141	0.06163980803
142	0.06161015589
143	0.06155754904
144	0.06153393594
145	0.06150949363
146	0.06148429631
147	0.06145670581
148	0.06141864768
149	0.06139501923
150	0.06136702334
151	0.06135321599
152	0.06132952368
153	0.06128932499
154	0.0612706175
155	0.06124515536
156	0.06122729721
157	0.06120686588
158	0.06117715683
159	0.06115019979
160	0.06112778625
161	0.06110361643
162	0.06109292331
163	0.0610614346
164	0.06103556618
165	0.06102140007
166	0.06100155949
167	0.06097487831
168	0.06096212006
169	0.06094890194
170	0.06092142424
171	0.06090677481
172	0.06088513488
173	0.06086742855
174	0.06084112633
175	0.06082426091
176	0.06079990274
177	0.06078604707
178	0.06076791015
179	0.0607511483
180	0.06073712791
181	0.06072668438
182	0.06070568479
183	0.06067123648
184	0.06065876038
185	0.06064258817
186	0.06062956622
187	0.06061111296
188	0.06058584219
189	0.06056469443
190	0.06054298588
191	0.06052884909
192	0.06051892398
193	0.06050493403
194	0.06049597375
195	0.06048131804
196	0.06046730605
197	0.06045217186
198	0.0604341145
199	0.0604266963
200	0.06041288259
201	0.06039733254
202	0.06038648952
203	0.06037647541
204	0.06036192809
205	0.06034015889
206	0.06032574769
207	0.0603010273
208	0.0602926766
209	0.06027923288
210	0.06026715045
211	0.06024657848
212	0.06023834759
213	0.06022436212
214	0.06021294563
215	0.06019839264
216	0.06018156992
217	0.06016825755
218	0.06015503445
219	0.06014345402
220	0.06013238438
221	0.06011952851
222	0.06011004191
223	0.06009808525
224	0.06008372338
225	0.06007004711
226	0.06005408063
227	0.06004273498
228	0.06001838226
229	0.06000934153
230	0.05999892248
231	0.05998974792
232	0.05998062332
233	0.0599684897
234	0.05995610368
235	0.05994925663
236	0.05994063727
237	0.05992916791
238	0.05991911834
239	0.05990590943
240	0.05989457014
241	0.05988690662
242	0.05987936203
243	0.05987143724
244	0.05986393396
245	0.05985579163
246	0.05984312505
247	0.05983364697
248	0.05982368568
249	0.05981596921
250	0.05980672686
251	0.05979405218
252	0.05978944493
253	0.05978264794
254	0.0597769861
255	0.05976767663
256	0.05975153753
257	0.05974421999
258	0.05973590003
259	0.0597157315
260	0.0597080203
261	0.05969896731
262	0.05969248466
263	0.05968578437
264	0.05967779746
265	0.05966890849
266	0.0596617399
267	0.05965664339
268	0.05964891086
269	0.05963790737
270	0.05963261154
271	0.05962632689
272	0.05962173266
273	0.05961762448
274	0.05960762469
275	0.05959710827
276	0.05958973717
277	0.05958469734
278	0.05957339988
279	0.05956800829
280	0.05956178442
281	0.05955358059
282	0.05954641226
283	0.05953867223
284	0.0595341833
285	0.05952982928
286	0.05952512224
287	0.05951905332
288	0.05951271267
289	0.05949886189
290	0.05949229286
291	0.05948497136
292	0.05947739185
293	0.05946882997
294	0.05946155388
295	0.05944794888
296	0.05944243061
297	0.05943590176
298	0.05942951989
299	0.05942149436
300	0.05940888887
301	0.05940331726
302	0.05939415358
303	0.05938829405
304	0.05937596545
305	0.05936918281
306	0.05936527531
307	0.05935935368
308	0.05935500809
309	0.0593442706
310	0.0593406399
311	0.0593311958
312	0.0593218198
313	0.05931496858
314	0.05931032674
315	0.05930681735
316	0.05929716445
317	0.0592904123
318	0.05928328879
319	0.05927889521
320	0.05926817769
321	0.05926337734
322	0.05925456352
323	0.05924824217
324	0.05924183162
325	0.05923859529
326	0.0592319913
327	0.05922540155
328	0.05921815569
329	0.05921154298
330	0.05920715958
331	0.05919920223
332	0.05919510242
333	0.05919030075
334	0.05918341292
335	0.05918059585
336	0.05917247166
337	0.05916891723
338	0.05916538686
339	0.05916048829
340	0.05915533082
341	0.05914620283
342	0.05914283512
343	0.05914058172
344	0.05913327925
345	0.05913009354
346	0.0591208596
347	0.05911475247
348	0.05910609253
349	0.05909916645
350	0.05909325813
351	0.05908568416
352	0.059080945
353	0.05907767895
354	0.05907538573
355	0.05906781521
356	0.05906071719
357	0.05905262619
358	0.05904337199
359	0.05904048524
360	0.05903132522
361	0.05902602133
362	0.05901895486
363	0.05901300063
364	0.0590077277
365	0.05900303474
366	0.05900017237
367	0.05899344557
368	0.05898726
369	0.0589798679
370	0.0589748042
371	0.05896993021
372	0.0589640502
373	0.05896004197
374	0.05895569349
375	0.05894886842
376	0.05894485025
377	0.05893625407
378	0.05893003638
379	0.05892230803
380	0.05891947018
381	0.05891512264
382	0.05890280242
383	0.0588969119
384	0.0588935217
385	0.05888813822
386	0.0588857263
387	0.05888084789
388	0.05887871388
389	0.05887528301
390	0.05887359956
391	0.05887059705
392	0.0588667981
393	0.05886086842
394	0.05885706725
395	0.05885122097
396	0.05884664307
397	0.05884286237
398	0.05883998063
399	0.05883552013
400	0.05883215968
401	0.05882883562
402	0.058825919
403	0.05882080766
404	0.05881540419
405	0.05880915842
406	0.05880413723
407	0.05880123542
408	0.0587988019
409	0.05879356016
410	0.05878772212
411	0.05878498514
412	0.0587829638
413	0.05878110812
414	0.05877526448
415	0.05876889231
416	0.05876430289
417	0.05876078178
418	0.05875800282
419	0.05875522749
420	0.05875038808
421	0.05874573272
422	0.05874245869
423	0.0587379783
424	0.05873503589
425	0.0587296294
426	0.05872413979
427	0.05871996757
428	0.05871584081
429	0.05871282929
430	0.05870942395
431	0.05870487379
432	0.05870062986
433	0.05869573287
434	0.05869092906
435	0.0586860749
436	0.05868168168
437	0.05867892695
438	0.05867610381
439	0.05867370949
440	0.0586699476
441	0.05866490649
442	0.05866120036
443	0.05865917274
444	0.05865626849
445	0.05865456028
446	0.05864868824
447	0.05864419263
448	0.05863926659
449	0.0586350813
450	0.0586299204
451	0.0586276635
452	0.05862494341
453	0.05862252119
454	0.05861334128
455	0.0586088301
456	0.0586056986
457	0.05860349602
458	0.05859848658
459	0.05859191744
460	0.05858767033
461	0.05858337468
462	0.05857940522
463	0.05857408289
464	0.05857012029
465	0.0585645438
466	0.05856241792
467	0.05855944595
468	0.05855789382
469	0.05855213988
470	0.05855018031
471	0.05854651126
472	0.0585442995
473	0.05853884885
474	0.05853731974
475	0.05853353665
476	0.05853061582
477	0.0585253893
478	0.05852141565
479	0.05851941885
480	0.0585142454
481	0.05850823583
482	0.05850466843
483	0.05850213747
484	0.05850046743
485	0.05849653952
