iter	Passed	Remaining
403	8739	12893
404	8761	12871
405	8782	12849
406	8802	12825
407	8821	12800
408	8841	12776
409	8862	12753
410	8885	12733
411	8907	12711
412	8925	12685
413	8946	12662
414	8968	12642
415	8990	12621
416	9010	12597
417	9030	12573
418	9048	12547
419	9067	12521
420	9087	12498
421	9108	12476
422	9130	12455
423	9150	12430
424	9172	12410
425	9196	12390
426	9217	12369
427	9239	12347
428	9259	12324
429	9281	12303
430	9303	12282
431	9326	12262
432	9347	12240
433	9370	12220
434	9391	12197
435	9412	12175
436	9435	12155
437	9457	12135
438	9481	12116
439	9506	12099
440	9531	12081
441	9555	12063
442	9579	12044
443	9601	12023
444	9626	12006
445	9646	11982
446	9671	11964
447	9692	11942
448	9716	11923
449	9738	11902
450	9756	11876
451	9780	11858
452	9802	11836
453	9824	11815
454	9846	11794
455	9869	11774
456	9889	11750
457	9911	11729
458	9934	11709
459	9958	11690
460	9982	11672
461	10004	11650
462	10025	11627
463	10047	11607
464	10068	11584
465	10091	11563
466	10116	11546
467	10140	11526
468	10157	11500
469	10178	11477
470	10199	11455
471	10228	11442
472	10248	11418
473	10272	11399
474	10292	11375
475	10314	11354
476	10335	11332
477	10356	11309
478	10378	11288
479	10398	11265
480	10421	11244
481	10441	11221
482	10465	11202
483	10485	11178
484	10507	11157
485	10532	11138
486	10553	11116
487	10576	11097
488	10599	11076
489	10623	11057
490	10646	11036
491	10667	11014
492	10686	10990
493	10707	10967
494	10730	10947
495	10752	10925
496	10773	10903
497	10794	10881
498	10817	10860
499	10836	10836
500	10857	10814
501	10879	10792
502	10900	10770
503	10921	10747
504	10942	10725
505	10963	10703
506	10984	10681
507	11006	10659
508	11026	10636
509	11048	10614
510	11070	10594
511	11090	10570
512	11111	10548
513	11133	10526
514	11154	10504
515	11174	10481
516	11194	10458
517	11215	10436
518	11233	10411
519	11254	10388
520	11276	10367
521	11298	10346
522	11317	10322
523	11338	10299
524	11356	10274
525	11375	10251
526	11395	10228
527	11416	10205
528	11438	10184
529	11463	10165
530	11482	10141
531	11507	10123
532	11531	10103
533	11557	10085
534	11580	10064
535	11608	10049
536	11630	10027
537	11652	10006
538	11676	9986
539	11699	9966
540	11719	9943
541	11739	9919
542	11759	9896
543	11779	9874
544	11800	9851
545	11823	9831
546	11841	9806
547	11863	9785
548	11883	9762
549	11900	9736
550	11921	9714
551	11938	9689
552	11959	9667
553	11982	9646
554	12001	9623
555	12021	9600
556	12043	9578
557	12064	9556
558	12086	9534
559	12106	9512
560	12126	9489
561	12149	9468
562	12170	9447
563	12192	9425
564	12212	9402
565	12234	9380
566	12255	9358
567	12275	9336
568	12295	9313
569	12317	9292
570	12340	9271
571	12362	9250
572	12384	9228
573	12405	9207
574	12428	9186
575	12450	9164
576	12473	9144
577	12495	9123
578	12520	9103
579	12542	9082
580	12566	9062
581	12592	9044
582	12616	9023
583	12640	9003
584	12662	8982
585	12683	8960
586	12701	8936
587	12723	8914
588	12741	8891
589	12760	8867
590	12780	8844
591	12801	8822
592	12821	8800
593	12840	8776
594	12862	8754
595	12883	8732
596	12904	8711
597	12927	8690
598	12944	8665
599	12965	8643
600	12988	8622
601	13010	8601
602	13028	8577
603	13050	8556
604	13070	8533
605	13090	8511
606	13112	8489
607	13131	8466
608	13152	8444
609	13173	8422
610	13195	8400
611	13215	8378
612	13234	8355
613	13254	8332
614	13275	8310
615	13297	8289
616	13318	8267
617	13338	8244
618	13358	8222
619	13378	8199
620	13399	8177
621	13422	8157
622	13444	8135
623	13466	8114
624	13489	8093
625	13513	8073
626	13538	8053
627	13561	8033
628	13584	8012
629	13609	7992
630	13634	7973
631	13654	7950
632	13676	7929
633	13695	7906
634	13718	7885
635	13738	7863
636	13761	7842
637	13782	7819
638	13802	7797
639	13824	7776
640	13842	7752
641	13862	7730
642	13884	7708
643	13907	7687
644	13926	7664
645	13944	7641
646	13967	7620
647	13989	7599
648	14010	7577
649	14032	7555
650	14052	7533
651	14072	7510
652	14095	7490
653	14117	7468
654	14138	7447
655	14162	7426
656	14185	7405
657	14203	7382
658	14224	7360
659	14246	7339
660	14264	7315
661	14283	7293
662	14306	7271
663	14328	7250
664	14350	7229
665	14372	7207
666	14394	7186
667	14413	7163
668	14435	7142
669	14459	7121
670	14482	7101
671	14505	7079
672	14527	7058
673	14547	7036
674	14571	7015
675	14597	6996
676	14616	6973
677	14637	6951
678	14655	6928
679	14677	6906
680	14699	6885
681	14717	6862
682	14736	6839
683	14755	6817
684	14774	6794
685	14796	6772
686	14817	6750
687	14839	6729
688	14860	6707
689	14882	6686
690	14903	6664
691	14925	6643
692	14946	6621
693	14967	6599
694	14988	6577
695	15008	6555
696	15030	6534
697	15051	6512
698	15070	6489
699	15091	6467
700	15112	6446
701	15136	6425
702	15160	6404
703	15180	6382
704	15203	6361
705	15229	6341
706	15252	6321
707	15278	6301
708	15299	6279
709	15322	6258
710	15341	6235
711	15362	6213
712	15381	6191
713	15399	6168
714	15424	6148
715	15449	6128
716	15472	6106
717	15496	6086
718	15520	6065
719	15545	6045
720	15572	6025
721	15591	6003
722	15616	5982
723	15641	5962
724	15666	5942
725	15691	5922
726	15713	5900
727	15735	5879
728	15757	5857
729	15782	5837
730	15804	5815
731	15830	5795
732	15850	5773
733	15873	5752
734	15895	5730
735	15915	5708
736	15934	5686
737	15955	5664
738	15976	5642
739	15995	5620
740	16015	5597
741	16037	5576
742	16058	5554
743	16080	5532
744	16100	5511
745	16119	5488
746	16139	5466
747	16159	5443
748	16179	5421
749	16200	5400
750	16222	5378
751	16244	5357
752	16267	5336
753	16290	5315
754	16314	5294
755	16340	5273
756	16361	5251
757	16381	5229
758	16403	5208
759	16427	5187
760	16450	5166
761	16475	5145
762	16501	5125
763	16525	5104
764	16546	5083
765	16572	5062
766	16595	5041
767	16615	5019
768	16635	4997
769	16658	4976
770	16681	4954
771	16704	4933
772	16724	4911
773	16749	4890
774	16774	4870
775	16799	4849
776	16820	4827
777	16841	4805
778	16864	4784
779	16889	4763
780	16913	4742
781	16936	4721
782	16958	4699
783	16981	4678
784	17007	4658
785	17029	4636
786	17051	4615
787	17073	4593
788	17091	4570
789	17113	4549
790	17133	4527
791	17155	4505
792	17176	4483
793	17200	4462
794	17224	4441
795	17246	4419
796	17269	4398
797	17290	4376
798	17316	4356
799	17338	4334
800	17359	4312
801	17380	4290
802	17403	4269
803	17431	4249
804	17456	4228
805	17480	4207
806	17506	4186
807	17532	4166
808	17561	4146
809	17586	4125
810	17611	4104
811	17631	4082
812	17654	4060
813	17680	4040
814	17709	4020
815	17736	3999
816	17759	3978
817	17783	3956
818	17807	3935
819	17830	3914
820	17853	3892
821	17876	3871
822	17897	3849
823	17916	3826
824	17938	3805
825	17958	3782
826	17979	3761
827	17997	3738
828	18019	3717
829	18043	3695
830	18068	3674
831	18088	3652
832	18110	3630
833	18134	3609
834	18159	3588
835	18182	3566
836	18203	3544
837	18223	3522
838	18243	3500
839	18266	3479
840	18284	3456
841	18307	3435
842	18330	3413
843	18349	3391
844	18376	3370
845	18399	3349
846	18423	3327
847	18444	3306
848	18468	3284
849	18492	3263
850	18513	3241
851	18535	3219
852	18561	3198
853	18584	3177
854	18611	3156
855	18635	3134
856	18655	3112
857	18679	3091
858	18702	3069
859	18721	3047
860	18745	3026
861	18763	3003
862	18786	2982
863	18805	2960
864	18826	2938
865	18847	2916
866	18869	2894
867	18892	2873
868	18912	2850
869	18931	2828
870	18953	2807
871	18976	2785
872	18994	2763
873	19018	2741
874	19040	2720
875	19062	2698
876	19084	2676
877	19109	2655
878	19131	2633
879	19152	2611
880	19175	2590
881	19194	2567
882	19216	2546
883	19235	2524
884	19256	2502
885	19276	2480
886	19297	2458
887	19316	2436
888	19337	2414
889	19357	2392
890	19378	2370
891	19401	2349
892	19427	2327
893	19451	2306
894	19472	2284
895	19494	2262
896	19517	2241
897	19544	2220
898	19566	2198
899	19588	2176
900	19608	2154
901	19630	2132
902	19653	2111
903	19676	2089
904	19699	2067
905	19722	2046
906	19743	2024
907	19765	2002
908	19786	1980
909	19806	1958
910	19828	1937
911	19851	1915
912	19875	1893
913	19899	1872
914	19923	1850
915	19945	1829
916	19967	1807
917	19988	1785
918	20010	1763
919	20034	1742
920	20058	1720
921	20076	1698
922	20098	1676
923	20121	1654
924	20146	1633
925	20164	1611
926	20185	1589
927	20203	1567
928	20225	1545
929	20245	1523
930	20267	1502
931	20285	1480
932	20305	1458
933	20324	1436
934	20345	1414
935	20365	1392
936	20387	1370
937	20410	1349
938	20430	1327
939	20453	1305
940	20475	1283
941	20500	1262
942	20521	1240
943	20546	1218
944	20569	1197
945	20591	1175
946	20612	1153
947	20633	1131
948	20654	1109
949	20672	1088
950	20692	1066
951	20713	1044
952	20733	1022
953	20753	1000
954	20772	978
955	20789	956
956	20809	935
957	20829	913
958	20851	891
959	20871	869
960	20889	847
961	20911	826
962	20932	804
963	20953	782
964	20975	760
965	20998	739
966	21019	717
967	21039	695
968	21057	673
969	21079	651
970	21100	630
971	21120	608
972	21142	586
973	21163	564
974	21186	543
975	21204	521
976	21226	499
977	21244	477
978	21263	456
979	21285	434
980	21307	412
981	21329	390
982	21347	369
983	21369	347
984	21395	325
985	21416	304
986	21438	282
987	21493	261
988	21525	239
989	21552	217
990	21573	195
991	21591	174
992	21610	152
993	21629	130
994	21650	108
995	21670	87
996	21692	65
997	21712	43
998	21732	21
999	21749	0
